player,date,time,id,item,itemID,itemString,response,votes,class,instance,boss,difficultyID,mapID,groupSize,gear1,gear2,responseID,isAwardReason,subType,equipLoc,note,owner
Booster-Netherwind,3/23/20,02:17:50,1584947870-6,[The Eye of Divinity],18646,item:18646::::::::39,Best Available,8,PRIEST,Molten Core-40 Player,Majordomo Executus,9,409,40,|cff0070dd|Hitem:18469::::::::39:::11::::|h[Royal Seal of Eldre'Thalas]|h|r,|cff0070dd|Hitem:18371::::::::39:::1::::|h[Mindtap Talisman]|h|r,1,false,Miscellaneous,Trinket,,Majordomo Executus
Booster-Netherwind,3/27/20,01:44:43,1585291483-1,[Scarlet Kris],5267,item:5267::::::::39,Offspec / PvP/Greed,0,PRIEST,Onyxia's Lair-40 Player,Onyxia,9,249,40,|cffa335ee|Hitem:18608:2505:::::::39:::11::::|h[Benediction]|h|r,,4,false,Daggers,One-Hand,,Onyxia
Booster-Netherwind,3/27/20,01:48:35,1585291715-8,[Mature Black Dragon Sinew],18705,item:18705::::::::39,Pass,0,PRIEST,Onyxia's Lair-40 Player,Onyxia,9,249,40,,,PASS,false,Quest,,,Onyxia
Booster-Netherwind,4/06/20,02:04:10,1586156650-12,[Aegis of Preservation],19345,item:19345::::::::39,Offspec / PvP/Greed,5,PRIEST,Blackwing Lair-40 Player,Ebonroc,9,469,40,|cff0070dd|Hitem:18469::::::::39:::11::::|h[Royal Seal of Eldre'Thalas]|h|r,|cff0070dd|Hitem:18371::::::::39:::1::::|h[Mindtap Talisman]|h|r,4,false,Miscellaneous,Trinket,"garbage, might try for pvp",Ebonroc
Booster-Netherwind,4/06/20,02:49:36,1586159376-14,[Handguards of Transcendence],16920,item:16920::::::::39,Best Available,5,PRIEST,Blackwing Lair-40 Player,Flamegor,9,469,40,|cffa335ee|Hitem:16812:930:::::::39:::::::|h[Gloves of Prophecy]|h|r,,1,false,Cloth,Hands,,Flamegor
Booster-Netherwind,4/06/20,03:26:37,1586161597-7,[Halo of Transcendence],16921,item:16921::::::::39,Best Available,3,PRIEST,Onyxia's Lair-40 Player,Onyxia,9,249,40,|cff0070dd|Hitem:10504::::::2051:134845824:39:::::::|h[Green Lens of Healing]|h|r,,1,false,Cloth,Head,,Onyxia
Booster-Netherwind,4/10/20,01:37:00,1586500620-6,[Schematic: Core Marksman Rifle],18292,item:18292::::::::39,Mainspec /Need,3,PRIEST,Molten Core-40 Player,Magmadar,9,409,40,,,2,false,Engineering,,,Magmadar
Booster-Netherwind,4/10/20,03:41:29,1586508089-9,[Shell Launcher Shotgun],13146,item:13146::::::::39,Guild Banking,0,PRIEST,Molten Core-40 Player,Ragnaros,9,409,40,|cff0070dd|Hitem:13938::::::::39:::1::::|h[Bonecreeper Stylus]|h|r,,2,true,Guns,,,Ragnaros
Booster-Netherwind,4/10/20,03:41:43,1586508103-10,[Windrunner Legguards],13130,item:13130::::::::39,Guild Banking,0,PRIEST,Molten Core-40 Player,Ragnaros,9,409,40,|cffa335ee|Hitem:16922:1503:::::::39:::::::|h[Leggings of Transcendence]|h|r,,2,true,Mail,Legs,,Ragnaros
Booster-Netherwind,5/01/20,02:07:22,1588316842-4,[Boots of Prophecy],16811,item:16811::::::::39,Mainspec /Need,4,PRIEST,Molten Core-40 Player,Shazzrah,9,409,40,|cff0070dd|Hitem:18102::::::::39:::1::::|h[Dragonrider Boots]|h|r,,2,false,Cloth,Feet,omfg first ever drop,Shazzrah
